                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3672,                 3.2995,                 1.4635,                0.28681,                0.38724,                0.29396,                0.19846,                 1.1841,                 3.4401,                 1.2114,             0.00010003,             0.00010003,             0.00010003
                      2,                 1.0866,                 1.9317,                 1.2726,                0.30652,                0.51923,                0.41776,                0.29333,                 1.2658,                  3.054,                 1.4656,             0.00021223,             0.00021223,             0.00021223
                      3,                0.99025,                 1.5336,                 1.1198,                0.43236,                0.68536,                0.51432,                0.35282,                 1.2229,                 2.9164,                 1.2012,             0.00032216,             0.00032216,             0.00032216
                      4,                0.96942,                  1.419,                  1.107,                0.62728,                0.62179,                0.64449,                0.43068,                 1.0117,                 2.0174,                 1.2233,             0.00042983,             0.00042983,             0.00042983
                      5,                0.88605,                 1.2633,                 1.0674,                0.53446,                 0.6546,                0.69479,                0.48978,                 1.4809,                 2.6722,                 1.4527,             0.00053524,             0.00053524,             0.00053524
                      6,                0.95485,                 1.2586,                 1.1254,                0.65273,                  0.611,                0.57196,                0.39718,                 1.3783,                 2.3672,                 1.4692,             0.00063838,             0.00063838,             0.00063838
                      7,                0.98638,                 1.2869,                 1.1487,                0.70677,                0.54691,                 0.6895,                0.47236,                 1.0814,                 2.5074,                 1.3539,             0.00073926,             0.00073926,             0.00073926
                      8,                 1.0845,                  1.371,                 1.1897,                0.22785,                0.67353,                0.33991,                0.20255,                 1.6929,                 5.8378,                 1.7454,             0.00083788,             0.00083788,             0.00083788
                      9,                 0.9359,                 1.2138,                 1.1136,                0.28403,                0.48542,                0.32317,                0.18974,                 1.6883,                 2.7879,                 1.8777,             0.00093423,             0.00093423,             0.00093423
                     10,                0.92858,                 1.2423,                 1.1313,                0.36814,                 0.4318,                0.32613,                0.19783,                 1.9458,                 2.3171,                 2.0524,              0.0010283,              0.0010283,              0.0010283
                     11,                 0.9823,                 1.2454,                 1.1618,                0.59999,                0.29183,                   0.38,                0.19881,                 1.7576,                 4.7818,                 1.8179,              0.0011202,              0.0011202,              0.0011202
                     12,                 0.9893,                 1.1542,                 1.1664,                0.59968,                0.44883,                0.49373,                0.23685,                 2.4328,                 2.5527,                 2.2156,              0.0012097,              0.0012097,              0.0012097
